"Site","Date","Grid","Species","Sex"
"U3",2016-07-19,"14","Aedes vexans","M"
"U3",2016-07-19,"14","Aedes vexans","M"
"U3",2016-07-19,"14","Aedes vexans","F"
"U3",2016-07-19,"14","Aedes vexans","F"
"U3",2016-08-29,"37","Aedes albopictus","F"
"U3",2016-08-29,"37","Aedes albopictus","F"
"R2",2016-06-20,"50","Aedes albopictus","M"
"R2",2016-06-20,"50","Aedes albopictus","M"
"R2",2016-06-20,"50","Aedes albopictus","F"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","F"
"R2",2016-07-05,"59","Aedes albopictus","F"
"R2",2016-07-05,"59","Aedes albopictus","F"
"R2",2016-07-05,"59","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","F"
"R2",2016-07-05,"59","Aedes japonicus","F"
"R2",2016-07-05,"59","Culex quinquefasciatus","M"
"R2",2016-07-05,"59","Culex quinquefasciatus","M"
"R2",2016-07-05,"59","Culex quinquefasciatus","M"
"R2",2016-07-05,"59","Culex quinquefasciatus","F"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"50B","Aedes albopictus","M"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-05,"59","Culex quinquefasciatus","F"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-05,"50B","Aedes albopictus","M"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","M"
"R2",2016-07-05,"61B","Aedes albopictus","M"
"R2",2016-07-05,"59","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"50B","Aedes albopictus","M"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","M"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"61B","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"92","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"92","Aedes albopictus","M"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-05,"50B","Aedes albopictus","F"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"59A","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","F"
"R2",2016-08-02,"61A","Aedes albopictus","M"
"R2",2016-08-02,"61A","Aedes albopictus","M"
"R2",2016-08-02,"51","Aedes albopictus","M"
"R2",2016-08-02,"51","Aedes albopictus","M"
"R2",2016-08-02,"51","Aedes albopictus","M"
"R2",2016-08-02,"51","Aedes albopictus","M"
"R2",2016-08-02,"51","Aedes albopictus","F"
"R2",2016-08-02,"61A","Aedes albopictus","M"
"R2",2016-08-02,"61A","Aedes albopictus","M"
"R2",2016-08-02,"61A","Aedes albopictus","F"
"R2",2016-08-02,"61A","Aedes albopictus","F"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-08-02,"51","Aedes albopictus","F"
"R2",2016-08-02,"51","Aedes albopictus","F"
"R2",2016-08-02,"51","Aedes albopictus","F"
"R2",2016-08-02,"51","Aedes albopictus","F"
"R2",2016-08-02,"51","Aedes albopictus","F"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","F"
"R2",2016-07-19,"92","Aedes albopictus","F"
"R2",2016-07-19,"92","Aedes albopictus","F"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","M"
"R2",2016-07-19,"92","Aedes albopictus","F"
"R2",2016-08-15,"51","Aedes albopictus","M"
"R2",2016-08-15,"51","Aedes albopictus","F"
"R2",2016-08-15,"51","Aedes albopictus","F"
"R2",2016-08-15,"51","Aedes albopictus","F"
"R2",2016-08-15,"51","Aedes albopictus","F"
"R2",2016-08-29,"61B","Aedes albopictus","F"
"R2",2016-08-29,"61B","Aedes albopictus","F"
"R2",2016-08-29,"61B","Aedes albopictus","M"
"R2",2016-08-29,"61B","Aedes albopictus","M"
"R2",2016-08-29,"61B","Aedes albopictus","F"
"R2",2016-08-29,"61B","Aedes albopictus","F"
"R2",2016-08-29,"61B","Aedes albopictus","M"
"R2",2016-08-29,"61B","Aedes albopictus","M"
"R2",2016-08-29,"61B","Aedes albopictus","M"
"R2",2016-08-29,"61B","Aedes albopictus","F"
"R2",2016-08-29,"51","Aedes albopictus","M"
"R2",2016-08-29,"51","Aedes albopictus","F"
"R2",2016-08-29,"51","Aedes albopictus","F"
"R2",2016-08-29,"51","Aedes albopictus","F"
"R2",2016-08-29,"51","Aedes japonicus","F"
"R2",2016-08-29,"51","Aedes albopictus","F"
"S1",2016-06-20,"56B","Aedes albopictus","F"
"S1",2016-06-20,"56B","Aedes albopictus","F"
"S1",2016-06-20,"56A","Culex quinquefasciatus","F"
"S1",2016-06-20,"56A","Culex quinquefasciatus","F"
"S1",2016-06-20,"56A","Culex quinquefasciatus","F"
"S1",2016-06-20,"56A","Culex quinquefasciatus","F"
"S1",2016-06-20,"56A","Culex quinquefasciatus","F"
"S1",2016-06-20,"56A","Culex quinquefasciatus","M"
"S1",2016-06-20,"56A","Culex quinquefasciatus","M"
"S1",2016-06-20,"56B","Aedes albopictus","M"
"S1",2016-06-20,"56B","Aedes triseriatus","M"
"S1",2016-06-20,"43","Aedes triseriatus","F"
"S1",2016-06-20,"43","Aedes triseriatus","F"
"S1",2016-06-20,"43","Aedes triseriatus","F"
