Site_Code,Date,Species,Sex,AlboCode,Notes
U3,6/9/16,Aedes albopictus,F ,U3_1,missing legs and damaged wing
U3,6/9/16,Aedes albopictus,F ,U3_2,only 1 wing which was already damaged
U3,6/9/16,Culex spp. ,F ,NA,no body
U3,6/9/16,Culex spp. ,NA,NA,ants; no head or legs
U3,6/9/16,Aedes albopictus,F ,U3_4,ants; no head; sex identified by looking at the end of abdomen
U3,6/9/16,Aedes albopictus,F ,U3_3,ants; no head; sex identified by looking at the end of abdomen
U3,6/9/16,Aedes spp.,F ,NA,ants; hollowed out
U3,6/9/16,Aedes albopictus,F ,U3_5,
U3,6/9/16,Aedes spp.,F ,NA,"ants; no head, one leg, one wing"
U3,6/29/16,Aedes albopictus,F ,U3_6,
U3,6/29/16,Aedes albopictus,F ,U3_7,
U3,7/7/16,Aedes albopictus,F ,U3_8,
U3,7/7/16,Aedes albopictus,F ,U3_9,
U3,7/7/16,Aedes albopictus,F ,NA,no wings 
U3,7/7/16,Aedes vexans ,F ,NA,
U3,7/7/16,NA,NA,NA,no body; no wings 
R2,6/9/16,Aedes albopictus,M,NA,
R2,6/9/16,Aedes albopictus,M,NA,
R2,6/22/16,Aedes albopictus,F,R2_1,
R2,6/22/16,Aedes albopictus,F,R2_2,
R2,6/22/16,Aedes albopictus,M,NA,
R2,6/22/16,Aedes albopictus,M,NA,
R2,6/22/16,Aedes albopictus,M,NA,
R2,6/22/16,Culex nigripalpus,F,NA,looks full
R2,6/22/16,Aedes albopictus,M,NA,
R2,6/22/16,Aedes albopictus,M,NA,
R2,6/22/16,Aedes albopictus,F,R2_3,
R2,6/22/16,Aedes albopictus,F,R2_4,blood fed! 
R2,6/22/16,Aedes albopictus,M,NA,
R2,6/22/16,Aedes albopictus,M,NA,
R2,6/22/16,Aedes albopictus,M,NA,
R2,6/22/16,Aedes albopictus,M,NA,
R2,6/29/16,Aedes albopictus,F,R2_5,
R2,6/29/16,Aedes albopictus,M,NA,
R2,6/29/16,Aedes albopictus,M,NA,
R2,6/29/16,Aedes albopictus,F,R2_6,
R2,7/7/16,Aedes albopictus,M,NA,
R2,7/7/16,Aedes albopictus,M,NA,
R2,7/7/16,Aedes albopictus,M,NA,
R2,7/7/16,Aedes albopictus,M,NA,
R2,7/7/16,Aedes albopictus,F,NA,abdomen and wings destroyed
R2,7/7/16,Aedes albopictus,F,NA,no wings 
R2,7/7/16,Aedes albopictus,F,R2_7,
R2,7/14/16,Aedes albopictus,F,R2_8,
R2,7/14/16,Aedes albopictus,F,R2_9,
R2,7/14/16,Aedes albopictus,F,R2_10,
R2,7/14/16,Aedes albopictus,F,R2_11,
R2,7/14/16,Aedes albopictus,F,R2_12,
R2,7/14/16,Aedes albopictus,F,NA,no wings 
R2,7/14/16,Aedes albopictus,F,NA,only head; no wings 
R2,7/14/16,Aedes albopictus,M,NA,only head 
R2,7/14/16,Aedes albopictus,M,NA,only head 
R2,7/14/16,Aedes albopictus,M,NA,
R2,7/14/16,Aedes albopictus,M,NA,
R2,7/14/16,Aedes albopictus,NA,NA,only head 
R2,7/14/16,Aedes albopictus,NA,NA,only head 
R2,7/14/16,Aedes albopictus,NA,NA,only head 
R2,7/14/16,Aedes albopictus,NA,NA,only head 
R2,7/14/16,Aedes albopictus,NA,NA,only head 
R2,7/14/16,Aedes albopictus,NA,NA,only head 
R2,7/14/16,Aedes albopictus,NA,NA,only head 
R2,7/14/16,Aedes albopictus,NA,NA,only head 
R2,7/14/16,Aedes albopictus,NA,NA,only head 
S1,6/22/16,Aedes albopictus,F,S1_1,
S1,6/22/16,Aedes albopictus,F,S1_2,
S1,6/22/16,Toxorhynchites r. septentrionalis,F,NA,
S1,6/29/16,Aedes albopictus,M,NA,only the head 
S1,6/29/16,Aedes albopictus,F,S1_3,
S1,6/29/16,Aedes albopictus,F,S1_4,
S1,7/7/16,Aedes albopictus,F,S1_5,
S1,7/7/16,Aedes albopictus,F,S1_6,
S1,7/7/16,Aedes albopictus,F,S1_7,
S1,7/7/16,Aedes albopictus,F,S1_8,
S1,7/7/16,Aedes albopictus,M,NA,
S1,7/7/16,Aedes albopictus,M,NA,
S1,7/7/16,Aedes albopictus,M,NA,
S1,7/14/16,Aedes albopictus,M,NA,
S1,7/14/16,Aedes albopictus,M,NA,
S1,7/14/16,Aedes albopictus,M,NA,
S1,7/14/16,Aedes albopictus,M,NA,only head 
