Site,Date,Grid,Species,Sex
R1,7/7/16,33,Aedes albopictus,M
R1,7/7/16,33,Aedes albopictus,M
R1,7/7/16,33,Aedes albopictus,M
R1,7/7/16,33,Aedes albopictus,F
R1,7/7/16,33,Aedes triseriatus,M
R1,7/7/16,33,Aedes albopictus,M
R1,7/7/16,33,Aedes albopictus,M
R1,7/7/16,33,Aedes albopictus,F
R1,7/7/16,33,Aedes albopictus,F
R1,7/7/16,33,Aedes albopictus,F
R1,7/7/16,33,Aedes triseriatus,F
R1,7/7/16,33,Aedes triseriatus,F
R1,7/7/16,33,Aedes triseriatus,F
R1,7/7/16,33,Aedes triseriatus,F
R1,7/7/16,33,Culex quinquefasciatus,F
R1,7/7/16,33,Aedes albopictus,M
R1,7/7/16,33,Aedes albopictus,M
R1,7/7/16,33,Aedes albopictus,F
R1,7/7/16,33,Aedes albopictus,F
R1,7/7/16,33,Aedes albopictus,F
R1,7/7/16,33,Aedes albopictus,F
R1,7/7/16,33,Aedes albopictus,F
R1,7/7/16,33,Aedes albopictus,F
R1,7/7/16,33,Aedes albopictus,F
R1,7/7/16,33,Aedes albopictus,F
R1,7/7/16,33,Aedes albopictus,F
R1,7/7/16,33,Aedes albopictus,F
R1,7/21/16,34,Aedes albopictus,F
R1,7/21/16,34,Aedes albopictus,F
R1,7/21/16,34,Aedes albopictus,F
R1,7/21/16,34,Aedes albopictus,F
R1,7/21/16,34,Aedes albopictus,F
R1,7/21/16,34,Aedes albopictus,F
R1,7/21/16,34,Aedes albopictus,F
R1,7/21/16,34,Aedes albopictus,M
R1,7/21/16,34,Aedes albopictus,F
R1,7/21/16,34,Aedes albopictus,F
R1,7/21/16,34,Aedes albopictus,M
R1,7/21/16,34,Aedes albopictus,M
R1,7/21/16,34,Aedes albopictus,M
R1,7/21/16,34,Aedes albopictus,F
R1,7/21/16,34,Aedes albopictus,M
R1,8/2/16,33,Aedes albopictus,M
R1,8/2/16,33,Orthopodomyia signifera,F
R1,8/2/16,33,Orthopodomyia signifera,F
