Site,Date,Grid,Species,Sex,Num,Notes
U3,7/19/16,14,Aedes vexans,M,2,
U3,7/19/16,14,Aedes vexans,F,2,
U3,8/29/16,37,Aedes albopictus,F,1,
U3,8/29/16,37,Aedes albopictus,F,1,
R2,6/20/16,50,Aedes albopictus,M,1,
R2,6/20/16,50,Aedes albopictus,M,1,
R2,6/20/16,50,Aedes albopictus,F,1,
R2,7/5/16,59,Aedes albopictus,M,1,
R2,7/5/16,59,Aedes albopictus,M,1,
R2,7/5/16,59,Aedes albopictus,M,1,
R2,7/5/16,59,Aedes albopictus,M,1,
R2,7/5/16,59,Aedes albopictus,M,1,
R2,7/5/16,59,Aedes albopictus,M,1,
R2,7/5/16,59,Aedes albopictus,M,1,
R2,7/5/16,59,Aedes albopictus,F,1,
R2,7/5/16,59,Aedes albopictus,F,1,
R2,7/5/16,59,Aedes albopictus,F,1,
R2,7/5/16,59,Aedes albopictus,F,1,
R2,7/5/16,92,Aedes albopictus,M,1,
R2,7/5/16,59,Aedes albopictus,F,1,
R2,7/5/16,59,Aedes japonicus,F,1,
R2,7/5/16,59,Culex quinquefasciatus,M,1,
R2,7/5/16,59,Culex quinquefasciatus,M,1,
R2,7/5/16,59,Culex quinquefasciatus,M,1,
R2,7/5/16,59,Culex quinquefasciatus,F,1,
R2,7/5/16,92,Aedes albopictus,M,1,
R2,7/5/16,50B,Aedes albopictus,M,1,
R2,7/5/16,50B,Aedes albopictus,F,1,
R2,7/5/16,59,Culex quinquefasciatus,F,1,
R2,7/5/16,50B,Aedes albopictus,F,1,
R2,7/5/16,50B,Aedes albopictus,M,1,
R2,7/5/16,61B,Aedes albopictus,F,1,
R2,7/5/16,61B,Aedes albopictus,F,1,
R2,7/5/16,61B,Aedes albopictus,F,1,
R2,7/5/16,61B,Aedes albopictus,F,1,
R2,7/5/16,61B,Aedes albopictus,F,1,
R2,7/5/16,61B,Aedes albopictus,F,1,
R2,7/5/16,61B,Aedes albopictus,F,1,
R2,7/5/16,61B,Aedes albopictus,F,1,
R2,7/5/16,61B,Aedes albopictus,F,1,
R2,7/5/16,61B,Aedes albopictus,M,1,
R2,7/5/16,61B,Aedes albopictus,M,1,
R2,7/5/16,59,Aedes albopictus,F,1,
R2,7/5/16,92,Aedes albopictus,M,1,
R2,7/5/16,50B,Aedes albopictus,M,1,
R2,7/5/16,50B,Aedes albopictus,F,1,
R2,7/5/16,50B,Aedes albopictus,F,1,
R2,7/5/16,61B,Aedes albopictus,M,1,
R2,7/5/16,61B,Aedes albopictus,F,1,
R2,7/5/16,61B,Aedes albopictus,F,1,
R2,7/5/16,92,Aedes albopictus,M,1,
R2,7/5/16,92,Aedes albopictus,M,1,
R2,7/5/16,92,Aedes albopictus,F,1,
R2,7/5/16,92,Aedes albopictus,F,1,
R2,7/5/16,92,Aedes albopictus,F,1,
R2,7/5/16,92,Aedes albopictus,F,1,
R2,7/5/16,92,Aedes albopictus,F,1,
R2,7/5/16,92,Aedes albopictus,F,1,
R2,7/5/16,92,Aedes albopictus,M,1,
R2,7/5/16,50B,Aedes albopictus,F,1,
R2,7/5/16,92,Aedes albopictus,M,1,
R2,7/5/16,92,Aedes albopictus,M,1,
R2,7/5/16,50B,Aedes albopictus,F,1,
R2,7/5/16,50B,Aedes albopictus,F,1,
R2,7/19/16,92,Aedes albopictus,M,1,
R2,7/19/16,92,Aedes albopictus,M,1,
R2,7/19/16,92,Aedes albopictus,M,1,
R2,7/19/16,59A,Aedes albopictus,M,1,
R2,7/19/16,59A,Aedes albopictus,M,1,
R2,7/19/16,59A,Aedes albopictus,M,1,
R2,7/19/16,59A,Aedes albopictus,M,1,
R2,7/19/16,59A,Aedes albopictus,M,1,
R2,7/19/16,92,Aedes albopictus,M,1,
R2,7/19/16,59A,Aedes albopictus,M,1,
R2,7/19/16,59A,Aedes albopictus,M,1,
R2,7/19/16,92,Aedes albopictus,M,1,
