Site,Site_Code,Tray,Tray_Code,Class,Month,Day,Exp_Day,Sex,Num_Emerge,
8,S3,1,S3T1,suburban,8,9,9,M,1,
4,U1,1,U1T1,urban,8,15,15,M,1,
4,U1,1,U1T1,urban,8,15,15,F,5,
4,U1,2,U1T2,urban,8,15,15,M,0,
4,U1,2,U1T2,urban,8,15,15,F,0,
4,U1,3,U1T3,urban,8,15,15,M,0,
4,U1,3,U1T3,urban,8,15,15,F,3,
4,U1,4,U1T4,urban,8,15,15,M,1,
4,U1,4,U1T4,urban,8,15,15,F,1,
8,S3,1,S3T1,suburban,8,15,15,M,0,
8,S3,1,S3T1,suburban,8,15,15,F,5,
8,S3,2,S3T2,suburban,8,15,15,M,0,
8,S3,2,S3T2,suburban,8,15,15,F,3,
8,S3,3,S3T3,suburban,8,15,15,M,0,
8,S3,3,S3T3,suburban,8,15,15,F,2,
8,S3,4,S3T4,suburban,8,15,15,M,0,
8,S3,4,S3T4,suburban,8,15,15,F,1,
6,R1,1,R1T1,rural,8,15,15,M,0,
6,R1,1,R1T1,rural,8,15,15,F,3,
6,R1,2,R1T2,rural,8,15,15,M,0,
6,R1,2,R1T2,rural,8,15,15,F,3,
6,R1,3,R1T3,rural,8,15,15,M,0,
6,R1,3,R1T3,rural,8,15,15,F,3,
6,R1,4,R1T4,rural,8,15,15,M,0,
6,R1,4,R1T4,rural,8,15,15,F,2,
7,U2,2,U2T2,urban,8,15,15,M,0,
7,U2,2,U2T2,urban,8,15,15,F,1,
8,S3,1,S3T1,suburban,8,16,16,M,0,
8,S3,1,S3T1,suburban,8,16,16,F,3,
8,S3,2,S3T2,suburban,8,16,16,M,0,
8,S3,2,S3T2,suburban,8,16,16,F,2,
8,S3,3,S3T3,suburban,8,16,16,M,0,
8,S3,3,S3T3,suburban,8,16,16,F,2,
8,S3,4,S3T4,suburban,8,16,16,M,0,
8,S3,4,S3T4,suburban,8,16,16,F,1,
4,U1,1,U1T1,urban,8,16,16,M,1,
