Site,Site_Code,Tray,Tray_Code,Class,Month,Day,Exp_Day,Sex,Num_Emerge
3,S1,4,S1T4,suburban,7,8,8,M,1
3,S1,1,S1T1,suburban,7,8,8,M,3
3,S1,2,S1T2,suburban,7,8,8,M,2
7,U2,3,U2T3,urban,7,8,8,M,1
7,U2,2,U2T3,urban,7,8,8,M,3
4,U1,3,U1T3,urban,7,8,8,M,1
4,U1,2,U1T2,urban,7,8,8,M,1
7,U2,2,U2T2,urban,7,9,9,M,3
7,U2,1,U2T1,urban,7,9,9,M,10
7,U2,4,U2T4,urban,7,9,9,M,1
4,U1,1,U1T1,urban,7,9,9,M,2
4,U1,2,U1T2,urban,7,9,9,M,4
4,U1,3,U1T3,urban,7,9,9,M,3
3,S1,3,S1T3,suburban,7,9,9,M,4
3,S1,2,S1T2,suburban,7,9,9,M,14
3,S1,2,S1T2,suburban,7,9,9,F,3
3,S1,1,S1T1,suburban,7,9,9,M,19
1,U3,3,U3T3,urban,7,9,9,M,2
8,S3,1,S3T1,suburban,7,9,9,M,2
5,S2,2,S2T2,suburban,7,9,9,M,1
5,S2,3,S2T3,suburban,7,9,9,M,1
5,S2,1,S2T1,suburban,7,9,9,M,1
9,R3,1,R2T1,rural,7,9,9,M,2
6,R1,3,R1T3,rural,7,9,9,M,4
6,R1,2,R1T2,rural,7,9,9,M,7
2,R2,1,R2T1,rural,7,9,9,M,1
2,R2,3,R2T3,rural,7,9,9,M,1
2,R2,4,R2T4,rural,7,9,9,M,1
5,S2,1,S2T1,suburban,7,10,10,M,5
5,S2,2,S2T2,suburban,7,10,10,M,5
5,S2,3,S2T3,suburban,7,10,10,M,4
5,S2,4,S2T4,suburban,7,10,10,M,2
6,R1,1,R1T1,rural,7,10,10,M,3
6,R1,2,R1T2,rural,7,10,10,F,2
6,R1,2,R1T2,rural,7,10,10,M,14
6,R1,3,R1T3,rural,7,10,10,M,12
6,R1,4,R1T4,rural,7,10,10,M,10
9,R3,1,R3T1,rural,7,10,10,M,8
9,R3,2,R3T2,rural,7,10,10,M,1
9,R3,3,R3T3,rural,7,10,10,M,8
9,R3,4,R3T4,rural,7,10,10,M,8
7,U2,1,U2T1,urban,7,10,10,F,6
7,U2,1,U2T1,urban,7,10,10,M,14
7,U2,2,U2T2,urban,7,10,10,F,4
7,U2,2,U2T2,urban,7,10,10,M,1
7,U2,3,U2T3,urban,7,10,10,M,10
7,U2,4,U2T4,urban,7,10,10,F,3
7,U2,4,U2T4,urban,7,10,10,M,8
8,S3,1,S3T1,suburban,7,10,10,M,12
8,S3,2,S3T2,suburban,7,10,10,M,9
8,S3,3,S3T3,suburban,7,10,10,M,2
8,S3,4,S3T4,suburban,7,10,10,M,6
4,U1,1,U1T1,urban,7,10,10,M,7
4,U1,2,U1T2,urban,7,10,10,M,7
4,U1,3,U1T3,urban,7,10,10,M,5
4,U1,4,U1T4,urban,7,10,10,M,3
2,R2,1,R2T1,rural,7,10,10,M,14
2,R2,2,R2T2,rural,7,10,10,M,6
2,R2,3,R2T3,rural,7,10,10,M,8
2,R2,4,R2T4,rural,7,10,10,M,17
1,U3,1,U3T1,urban,7,10,10,M,1
1,U3,2,U3T2,urban,7,10,10,M,8
1,U3,3,U3T3,urban,7,10,10,M,5
1,U3,4,U3T4,urban,7,10,10,M,4
3,S1,1,S1T1,suburban,7,10,10,F,7
3,S1,1,S1T1,suburban,7,10,10,M,6
