Individual,DPI,Body,Head,Saliva,WingLength
R1_41,21,C,,N,
R1_42,21,N,,N,
R1_43,21,N,,N,
R1_44,21,N,,N,
R1_45,21,N,,N,
R1_46,21,Y,,N,
R1_47,21,N,,N,
R1_48,21,N,,N,
R1_49,21,N,,N,
R1_50,21,N,,N,
R1_51,21,N,,N,
R1_52,21,N,,N,
R1_53,21,Y,,N,
R1_54,21,N,,N,
R1_55,21,Y,,N,
R1_56,21,N,,N,
R1_57,21,Y,,Y,
R1_58,21,Y,,N,
R1_59,21,N,,Y,
R1_60,21,Y,,N,
R2_41,21,Y,,N,
R2_42,21,Y,,Y,
R2_43,21,N,,N,
R2_44,21,N,,N,
R2_45,21,N,,N,
R2_46,21,N,,N,
R2_47,21,N,,N,
R2_48,21,N,,N,
R2_49,21,Y,,N,
R2_50,21,Y,,N,
R2_51,21,Y,,N,
R2_52,21,N,,N,
R2_53,21,N,,N,
R2_54,21,N,,N,
R2_55,21,N,,N,
R2_56,21,N,,N,
R2_57,21,N,,N,
R2_58,21,C,,N,
R2_59,21,N,,N,
R2_60,21,Y,,Y,
R3_41,21,C,,N,
R3_42,21,N,,N,
R3_43,21,Y,,N,
R3_44,21,Y,,Y,
R3_45,21,Y,,N,
R3_46,21,N,,N,
R3_47,21,N,,N,
R3_48,21,Y,,N,
R3_49,21,N,,N,
R3_50,21,N,,N,
R3_51,21,Y,,Y,
R3_52,21,Y,,N,
R3_53,21,N,,N,
R3_54,21,Y,,N,
R3_55,21,N,,N,
R3_56,21,Y,,N,
R3_57,21,N,,N,
R3_58,21,C,,N,
R3_59,21,N,,N,
R3_60,21,N,,N,
S1_41,21,N,,N,
S1_42,21,Y,,N,
S1_43,21,N,,N,
S1_44,21,N,,N,
S1_45,21,Y,,N,
S1_46,21,Y,,N,
S1_47,21,Y,,Y,
S1_48,21,Y,,Y,
S1_49,21,N,,N,
S1_50,21,Y,,Y,
S1_51,21,Y,,N,
S1_52,21,N,,N,
S1_53,21,N,,N,
S1_54,21,Y,,Y,
S1_55,21,Y,,Y,
S1_56,21,Y,,Y,
S1_57,21,Y,,N,
S1_58,21,NA,,NA,
S1_59,21,NA,,NA,
S1_60,21,NA,,NA,
S2_41,21,N,,N,
S2_42,21,N,,N,
S2_43,21,N,,N,
S2_44,21,N,,N,
S2_45,21,N,,N,
S2_46,21,Y,,Y,
S2_47,21,Y,,N,
S2_48,21,N,,N,
S2_49,21,Y,,N,
S2_50,21,Y,,Y,
S2_51,21,N,,N,
S2_52,21,N,,N,
S2_53,21,N,,N,
S2_54,21,N,,N,
S2_55,21,Y,,N,
S2_56,21,N,,N,
S2_57,21,Y,,N,
S2_58,21,Y,,N,
S2_59,21,Y,,N,
S2_60,21,Y,,N,
S3_41,21,Y,,N,
S3_42,21,Y,,N,
S3_43,21,N,,N,
S3_44,21,N,,N,
S3_45,21,N,,N,
S3_46,21,Y,,N,
S3_47,21,Y,,N,
S3_48,21,Y,,N,
S3_49,21,N,,N,
S3_50,21,N,,N,
S3_51,21,N,,N,
S3_52,21,N,,N,
S3_53,21,Y,,Y,
S3_54,21,Y,,N,
S3_55,21,N,,N,
S3_56,21,N,,N,
S3_57,21,N,,N,
S3_58,21,N,,Y,
S3_59,21,N,,N,
S3_60,21,N,,N,
U1_41,21,Y,,Y,
U1_42,21,N,,N,
U1_43,21,N,,N,
U1_44,21,N,,N,
U1_45,21,N,,N,
U1_46,21,N,,N,
U1_47,21,N,,N,
U1_48,21,N,,N,
U1_49,21,Y,,Y,
U1_50,21,N,,N,
U1_51,21,N,,N,
U1_52,21,N,,N,
U1_53,21,N,,N,
U1_54,21,N,,N,
U1_55,21,N,,N,
U1_56,21,N,,N,
U1_57,21,Y,,Y,
U1_58,21,N,,N,
U1_59,21,N,,N,
U1_60,21,N,,N,
U2_41,21,N,,N,
U2_42,21,N,,N,
U2_43,21,N,,N,
U2_44,21,NA,,N,
U2_45,21,N,,N,
U2_46,21,N,,N,
U2_47,21,Y,,Y,
U2_48,21,N,,N,
U2_49,21,C,,Y,
U2_50,21,N,,N,
U2_51,21,N,,N,
U2_52,21,N,,N,
U2_53,21,N,,N,
U2_54,21,Y,,Y,
U2_55,21,N,,N,
U2_56,21,N,,N,
U2_57,21,N,,N,
U2_58,21,N,,N,
U2_59,21,Y,,Y,
U2_60,21,N,,N,
U3_41,21,N,,N,
U3_42,21,C,,N,
U3_43,21,N,,N,
U3_44,21,N,,N,
U3_45,21,N,,N,
U3_46,21,N,,N,
U3_47,21,N,,N,
U3_48,21,N,,N,
U3_49,21,N,,N,
U3_50,21,Y,,N,
U3_51,21,N,,N,
U3_52,21,N,,N,
U3_53,21,N,,N,
U3_54,21,NA,,NA,
U3_55,21,NA,,NA,
U3_56,21,NA,,NA,
U3_57,21,NA,,NA,
U3_58,21,NA,,NA,
U3_59,21,NA,,NA,
U3_60,21,NA,,NA,
R1_21,14,N,,N,
R1_22,14,N,,N,
R1_23,14,N,,N,
R1_24,14,N,,N,
R1_25,14,N,,N,
R1_26,14,N,,N,
R1_27,14,N,,N,
R1_28,14,N,,N,
R1_29,14,N,,N,
R1_30,14,N,,N,
R1_31,14,N,,N,
R1_32,14,Y,,Y,
R1_33,14,N,,N,
R1_34,14,N,,N,
R1_35,14,N,,N,
R1_36,14,N,,N,
R1_37,14,N,,N,
R1_38,14,N,,N,
R1_39,14,N,,Y,
R1_40,14,N,,N,
R2_21,14,N,,N,
R2_22,14,N,,N,
R2_23,14,N,,N,
R2_24,14,N,,N,
R2_25,14,N,,N,
R2_26,14,N,,N,
R2_27,14,Y,,N,
R2_28,14,N,,N,
R2_29,14,Y,,N,
R2_30,14,N,,N,
R2_31,14,N,,N,
R2_32,14,N,,C,
R2_33,14,N,,N,
R2_34,14,Y,,N,
R2_35,14,N,,N,
R2_36,14,N,,N,
R2_37,14,N,,N,
R2_38,14,N,,N,
R2_39,14,N,,N,
R2_40,14,N,,N,
R3_21,14,N,,N,
R3_22,14,N,,N,
R3_23,14,N,,N,
R3_24,14,N,,N,
R3_25,14,N,,N,
R3_26,14,Y,,N,
R3_27,14,N,,N,
R3_28,14,N,,N,
R3_29,14,N,,N,
R3_30,14,N,,N,
R3_31,14,N,,N,
R3_32,14,N,,N,
R3_33,14,Y,,N,
R3_34,14,N,,N,
R3_35,14,N,,N,
R3_36,14,N,,N,
R3_37,14,Y,,N,
R3_38,14,N,,N,
R3_39,14,N,,N,
R3_40,14,N,,N,
S1_21,14,N,,N,
S1_22,14,Y,,Y,
S1_23,14,N,,N,
S1_24,14,N,,N,
S1_25,14,N,,N,
S1_26,14,N,,N,
S1_27,14,N,,N,
S1_28,14,N,,N,
S1_29,14,N,,N,
S1_30,14,N,,Y,
S1_31,14,N,,N,
S1_32,14,Y,,N,
S1_33,14,N,,N,
S1_34,14,Y,,Y,
S1_35,14,N,,N,
S1_36,14,N,,N,
S1_37,14,NA,,NA,
S1_38,14,NA,,NA,
S1_39,14,NA,,NA,
S1_40,14,NA,,NA,
S2_21,14,Y,,N,
S2_22,14,N,,N,
S2_23,14,N,,N,
S2_24,14,Y,,N,
S2_25,14,N,,N,
S2_26,14,N,,N,
S2_27,14,N,,N,
S2_28,14,N,,N,
S2_29,14,N,,N,
S2_30,14,N,,N,
S2_31,14,N,,N,
S2_32,14,N,,N,
S2_33,14,N,,N,
S2_34,14,N,,N,
S2_35,14,N,,N,
S2_36,14,N,,N,
S2_37,14,N,,N,
S2_38,14,N,,N,
S2_39,14,N,,N,
S2_40,14,N,,N,
S3_21,14,N,,N,
S3_22,14,N,,N,
S3_23,14,N,,N,
S3_24,14,N,,N,
S3_25,14,N,,N,
S3_26,14,N,,N,
S3_27,14,N,,N,
S3_28,14,N,,N,
S3_29,14,N,,N,
S3_30,14,N,,N,
S3_31,14,N,,N,
S3_32,14,Y,,Y,
S3_33,14,N,,N,
S3_34,14,N,,N,
S3_35,14,N,,N,
S3_36,14,N,,N,
S3_37,14,N,,N,
S3_38,14,N,,N,
S3_39,14,Y,,N,
S3_40,14,N,,N,
U1_21,14,N,,N,
U1_22,14,N,,N,
U1_23,14,N,,N,
U1_24,14,N,,N,
U1_25,14,N,,N,
U1_26,14,N,,N,
U1_27,14,N,,N,
U1_28,14,N,,N,
U1_29,14,N,,N,
U1_30,14,N,,N,
U1_31,14,N,,N,
U1_32,14,N,,N,
U1_33,14,N,,N,
U1_34,14,N,,N,
U1_35,14,N,,N,
U1_36,14,N,,N,
U1_37,14,N,,N,
U1_38,14,N,,N,
U1_39,14,N,,N,
U1_40,14,N,,N,
U2_21,14,N,,N,
U2_22,14,Y,,N,
U2_23,14,N,,N,
U2_24,14,N,,N,
U2_25,14,N,,N,
U2_26,14,N,,N,
U2_27,14,Y,,N,
U2_28,14,N,,Y,
U2_29,14,Y,,N,
U2_30,14,C,,N,
U2_31,14,Y,,N,
U2_32,14,N,,Y,
U2_33,14,N,,N,
U2_34,14,N,,N,
U2_35,14,N,,N,
U2_36,14,N,,N,
U2_37,14,N,,N,
U2_38,14,N,,N,
U2_39,14,N,,N,
U2_40,14,N,,N,
U3_21,14,N,,N,
U3_22,14,Y,,N,
U3_23,14,N,,N,
U3_24,14,N,,N,
U3_25,14,N,,N,
U3_26,14,N,,N,
U3_27,14,N,,N,
U3_28,14,N,,N,
U3_29,14,N,,N,
U3_30,14,N,,N,
U3_31,14,N,,N,
U3_32,14,N,,N,
U3_33,14,N,,N,
U3_34,14,N,,N,
U3_35,14,N,,N,
U3_36,14,N,,Y,
U3_37,14,N,,N,
U3_38,14,N,,N,
U3_39,14,Y,,N,
U3_40,14,N,,N,
