Site,Site_Code,Tray,Tray_Code,Class,Month,Day,Exp_Day,Sex,Num_Emerge
3,S1,1,S1T1,suburban,7,14,14,M,1
3,S1,1,S1T1,suburban,7,14,14,F,8
3,S1,2,S1T2,suburban,7,14,14,M,1
3,S1,2,S1T2,suburban,7,14,14,F,3
3,S1,3,S1T3,suburban,7,14,14,M,1
3,S1,3,S1T3,suburban,7,14,14,F,1
3,S1,4,S1T4,suburban,7,14,14,M,3
3,S1,4,S1T4,suburban,7,14,14,F,12
7,U2,1,U2T1,urban,7,14,14,M,2
7,U2,1,U2T1,urban,7,14,14,F,5
7,U2,2,U2T2,urban,7,14,14,M,2
7,U2,2,U2T2,urban,7,14,14,F,2
7,U2,3,U2T3,urban,7,14,14,M,2
7,U2,3,U2T3,urban,7,14,14,F,3
7,U2,4,U2T4,urban,7,14,14,M,1
7,U2,4,U2T4,urban,7,14,14,F,5
3,S1,1,S1T1,suburban,7,15,15,M,0
3,S1,1,S1T1,suburban,7,15,15,F,0
3,S1,2,S1T2,suburban,7,15,15,M,0
3,S1,2,S1T2,suburban,7,15,15,F,1
3,S1,3,S1T3,suburban,7,15,15,M,0
3,S1,3,S1T3,suburban,7,15,15,F,1
3,S1,4,S1T4,suburban,7,15,15,M,0
3,S1,4,S1T4,suburban,7,15,15,F,7
7,U2,1,U2T1,urban,7,15,15,M,0
7,U2,1,U2T1,urban,7,15,15,F,1
7,U2,2,U2T2,urban,7,15,15,M,2
7,U2,2,U2T2,urban,7,15,15,F,3
7,U2,3,U2T3,urban,7,15,15,M,0
7,U2,3,U2T3,urban,7,15,15,F,2
7,U2,4,U2T4,urban,7,15,15,M,0
7,U2,4,U2T4,urban,7,15,15,F,3
5,S2,1,S2T1,suburban,7,15,15,M,0
5,S2,1,S2T1,suburban,7,15,15,F,2
5,S2,2,S2T2,suburban,7,15,15,M,3
5,S2,2,S2T2,suburban,7,15,15,F,9
5,S2,3,S2T3,suburban,7,15,15,M,2
5,S2,3,S2T3,suburban,7,15,15,F,2
5,S2,4,S2T4,suburban,7,15,15,M,0
5,S2,4,S2T4,suburban,7,15,15,F,5
6,R1,1,R1T1,rural,7,15,15,M,0
6,R1,1,R1T1,rural,7,15,15,F,6
6,R1,2,R1T2,rural,7,15,15,M,3
6,R1,2,R1T2,rural,7,15,15,F,9
6,R1,3,R1T3,rural,7,15,15,M,3
6,R1,3,R1T3,rural,7,15,15,F,7
6,R1,4,R1T4,rural,7,15,15,M,6
6,R1,4,R1T4,rural,7,15,15,F,3
3,S1,1,S1T1,suburban,7,16,16,M,1
3,S1,1,S1T1,suburban,7,16,16,F,1
3,S1,2,S1T2,suburban,7,16,16,M,0
3,S1,2,S1T2,suburban,7,16,16,F,0
3,S1,3,S1T3,suburban,7,16,16,M,0
3,S1,3,S1T3,suburban,7,16,16,F,0
3,S1,4,S1T4,suburban,7,16,16,M,0
3,S1,4,S1T4,suburban,7,16,16,F,1
5,S2,1,S2T1,suburban,7,16,16,M,0
5,S2,1,S2T1,suburban,7,16,16,F,2
5,S2,2,S2T2,suburban,7,16,16,M,0
5,S2,2,S2T2,suburban,7,16,16,F,9
5,S2,3,S2T3,suburban,7,16,16,M,1
5,S2,3,S2T3,suburban,7,16,16,F,2
5,S2,4,S2T4,suburban,7,16,16,M,0
5,S2,4,S2T4,suburban,7,16,16,F,2
2,R2,1,R2T1,rural,7,16,16,M,0
2,R2,1,R2T1,rural,7,16,16,F,5
2,R2,2,R2T2,rural,7,16,16,M,0
2,R2,2,R2T2,rural,7,16,16,F,6
2,R2,3,R2T3,rural,7,16,16,M,1
2,R2,3,R2T3,rural,7,16,16,F,3
2,R2,4,R2T4,rural,7,16,16,M,0
2,R2,4,R2T4,rural,7,16,16,F,0
7,U2,1,U2T1,urban,7,16,16,M,0
7,U2,1,U2T1,urban,7,16,16,F,2
7,U2,2,U2T2,urban,7,16,16,M,0
7,U2,2,U2T2,urban,7,16,16,F,0
7,U2,3,U2T3,urban,7,16,16,M,0
7,U2,3,U2T3,urban,7,16,16,F,0
7,U2,4,U2T4,urban,7,16,16,M,0
7,U2,4,U2T4,urban,7,16,16,F,1
6,R1,1,R1T1,rural,7,16,16,M,0
6,R1,1,R1T1,rural,7,16,16,F,1
6,R1,2,R1T2,rural,7,16,16,M,0
6,R1,2,R1T2,rural,7,16,16,F,4
6,R1,3,R1T3,rural,7,16,16,M,1
6,R1,3,R1T3,rural,7,16,16,F,1
6,R1,4,R1T4,rural,7,16,16,M,0
6,R1,4,R1T4,rural,7,16,16,F,5
8,S3,1,S3T1,suburban,7,16,16,M,1
8,S3,1,S3T1,suburban,7,16,16,F,2
8,S3,2,S3T2,suburban,7,16,16,M,2
8,S3,2,S3T2,suburban,7,16,16,F,3
8,S3,3,S3T3,suburban,7,16,16,M,1
8,S3,3,S3T3,suburban,7,16,16,F,6
8,S3,4,S3T4,suburban,7,16,16,M,2
8,S3,4,S3T4,suburban,7,16,16,F,3
7,U2,1,U2T1,urban,7,17,17,M,0
7,U2,1,U2T1,urban,7,17,17,F,0
7,U2,2,U2T2,urban,7,17,17,M,0
7,U2,2,U2T2,urban,7,17,17,F,0
7,U2,3,U2T3,urban,7,17,17,M,0
7,U2,3,U2T3,urban,7,17,17,F,0
7,U2,4,U2T4,urban,7,17,17,M,0
7,U2,4,U2T4,urban,7,17,17,F,0
2,R2,1,R2T1,rural,7,17,17,M,0
2,R2,1,R2T1,rural,7,17,17,F,8
2,R2,2,R2T2,rural,7,17,17,M,1
2,R2,2,R2T2,rural,7,17,17,F,2
2,R2,3,R2T3,rural,7,17,17,M,1
2,R2,3,R2T3,rural,7,17,17,F,6
2,R2,4,R2T4,rural,7,17,17,M,1
2,R2,4,R2T4,rural,7,17,17,F,2
3,S1,1,S1T1,suburban,7,17,17,M,0
3,S1,1,S1T1,suburban,7,17,17,F,1
3,S1,2,S1T2,suburban,7,17,17,M,0
3,S1,2,S1T2,suburban,7,17,17,F,0
3,S1,3,S1T3,suburban,7,17,17,M,0
3,S1,3,S1T3,suburban,7,17,17,F,0
3,S1,4,S1T4,suburban,7,17,17,M,0
3,S1,4,S1T4,suburban,7,17,17,F,0
5,S2,1,S2T1,suburban,7,17,17,M,0
5,S2,1,S2T1,suburban,7,17,17,F,1
5,S2,2,S2T2,suburban,7,17,17,M,0
5,S2,2,S2T2,suburban,7,17,17,F,2
5,S2,3,S2T3,suburban,7,17,17,M,0
5,S2,3,S2T3,suburban,7,17,17,F,2
5,S2,4,S2T4,suburban,7,17,17,M,0
5,S2,4,S2T4,suburban,7,17,17,F,1
6,R1,1,R1T1,rural,7,17,17,M,0
6,R1,1,R1T1,rural,7,17,17,F,1
6,R1,2,R1T2,rural,7,17,17,M,0
6,R1,2,R1T2,rural,7,17,17,F,2
6,R1,3,R1T3,rural,7,17,17,M,0
6,R1,3,R1T3,rural,7,17,17,F,2
6,R1,4,R1T4,rural,7,17,17,M,0
6,R1,4,R1T4,rural,7,17,17,F,1
8,S3,1,S3T1,suburban,7,17,17,M,0
8,S3,1,S3T1,suburban,7,17,17,F,1
8,S3,2,S3T2,suburban,7,17,17,M,0
8,S3,2,S3T2,suburban,7,17,17,F,0
8,S3,3,S3T3,suburban,7,17,17,M,2
8,S3,3,S3T3,suburban,7,17,17,F,3
8,S3,4,S3T4,suburban,7,17,17,M,0
8,S3,4,S3T4,suburban,7,17,17,F,3
2,R2,1,R2T1,rural,7,18,18,M,1
2,R2,1,R2T1,rural,7,18,18,F,3
2,R2,2,R2T2,rural,7,18,18,M,0
2,R2,2,R2T2,rural,7,18,18,F,5
2,R2,3,R2T3,rural,7,18,18,M,1
2,R2,3,R2T3,rural,7,18,18,F,5
2,R2,4,R2T4,rural,7,18,18,M,0
2,R2,4,R2T4,rural,7,18,18,F,1
3,S1,1,S1T1,suburban,7,18,18,M,0
3,S1,1,S1T1,suburban,7,18,18,F,1
3,S1,2,S1T2,suburban,7,18,18,M,0
3,S1,2,S1T2,suburban,7,18,18,F,0
3,S1,3,S1T3,suburban,7,18,18,M,0
3,S1,3,S1T3,suburban,7,18,18,F,0
3,S1,4,S1T4,suburban,7,18,18,M,0
3,S1,4,S1T4,suburban,7,18,18,F,0
7,U2,1,U2T1,urban,7,18,18,M,0
7,U2,1,U2T1,urban,7,18,18,F,0
7,U2,2,U2T2,urban,7,18,18,M,0
7,U2,2,U2T2,urban,7,18,18,F,0
7,U2,3,U2T3,urban,7,18,18,M,0
7,U2,3,U2T3,urban,7,18,18,F,0
7,U2,4,U2T4,urban,7,18,18,M,0
7,U2,4,U2T4,urban,7,18,18,F,0
