Site,Site_Code,Tray,Tray_Code,Class,Month,Day,Exp_Day,Sex,Num_Emerge
7,U2,3,U2T3,urban,10,9,13,M,1
4,U1,2,U1T2,urban,10,9,13,M,1
9,R3,3,R3T3,rural,10,10,14,M,1
8,S3,3,S3T3,surburban,10,10,14,M,2
8,S3,3,S3T3,surburban,10,11,15,M,3
7,U2,3,U2T3,urban,10,11,15,M,6
7,U2,4,U2T4,urban,10,11,15,M,4
7,U2,2,U2T2,urban,10,13,17,M,3
7,U2,3,U2T3,urban,10,13,17,M,6
7,U2,4,U2T4,urban,10,13,17,M,7
7,U2,4,U2T4,urban,10,13,17,F,2
8,S3,2,S3T2,surburban,10,13,17,M,5
9,R3,3,R3T3,rural,10,12,16,M,1
4,U1,2,U1T2,urban,10,12,16,M,4
7,U2,3,U2T3,urban,10,12,16,M,4
7,U2,4,U2T4,urban,10,12,16,M,5
8,S3,1,S3T1,surburban,10,12,16,M,2
8,S3,3,S3T3,surburban,10,12,16,F,1
8,S3,3,S3T3,surburban,10,12,16,M,2
9,R3,3,R3T3,rural,10,13,17,M,3
1,U3,2,U3T2,urban,10,13,17,M,1
3,S1,1,S1T1,suburban,10,13,17,M,2
8,S3,4,S3T4,suburban,10,14,18,M,1
4,U1,2,U1T2,urban,10,14,18,M,4
4,U1,2,U1T2,urban,10,14,18,F,3
8,S3,3,S3T3,suburban,10,14,18,M,2
8,S3,3,S3T3,suburban,10,14,18,F,1
8,S3,2,S3T2,suburban,10,14,18,M,4
7,U2,2,U2T2,urban,10,14,18,M,4
7,U2,4,U2T4,urban,10,14,18,M,6
7,U2,4,U2T4,urban,10,14,18,F,3
7,U2,3,U2T3,urban,10,14,18,M,12
3,S1,1,S1T1,suburban,10,14,18,M,1
3,S1,2,S1T2,suburban,10,14,18,M,2
1,U3,2,U3T2,urban,10,14,18,M,2
1,U3,3,U3T3,urban,10,14,18,M,1
2,R2,2,R2T2,rural,10,14,18,M,1
9,R3,3,R3T3,rural,10,14,18,M,7
9,R3,3,R3T3,rural,10,14,18,F,3
9,R3,3,R3T3,rural,10,15,19,M,7
9,R3,3,R3T3,rural,10,15,19,F,1
4,U1,2,U1T2,urban,10,15,19,M,4
4,U1,2,U1T2,urban,10,15,19,F,4
7,U2,2,U2T2,urban,10,15,19,M,1
7,U2,3,U2T3,urban,10,15,19,F,10
7,U2,3,U2T3,urban,10,15,19,M,10
7,U2,4,U2T4,urban,10,15,19,F,3
7,U2,4,U2T4,urban,10,15,19,M,4
8,S3,1,S3T1,suburban,10,15,19,M,4
8,S3,1,S3T1,suburban,10,15,19,F,1
8,S3,2,S3T2,suburban,10,15,19,M,5
8,S3,3,S3T3,suburban,10,15,19,M,2
8,S3,3,S3T3,suburban,10,15,19,F,6
