Individual,DPI,Body,Head,Saliva,WingLength,conversion (mm/bar)
R1_1,21,N,Y,N,,
R1_2,21,N,N,N,,
R1_3,21,N,N,N,,
R1_4,21,Y,Y,N,,
R1_5,21,Y,Y,N,,
R1_6,21,Y,Y,N,,
R1_7,21,Y,Y,N,,
R1_8,21,Y,Y,N,,
R1_9,21,N,N,N,,
R1_10,21,N,N,N,,
R2_1,21,Y,Y,N,,
R2_2,21,N,Y,N,,
R2_3,21,N,N,N,,
R2_4,21,Y,Y,N,,
R2_5,21,N,Y,N,,
R2_6,21,Y,Y,N,,
R2_7,21,N,N,N,,
R2_8,21,N,N,NA,,
R2_9,21,N,N,NA,,
R2_10,21,N,N,NA,,
R2_11,21,N,N,N,,
R2_12,21,Y,Y,N,,
R2_13,21,N,Y,Y,,
R2_14,21,Y,Y,N,,
R2_15,21,Y,Y,N,,
R2_16,21,N,N,N,,
R2_17,21,N,N,N,,
R2_18,21,Y,Y,N,,
R2_19,21,Y,Y,Y,,
R2_20,21,N,Y,N,,
R3_1,21,N,N,N,,
R3_2,21,Y,Y,N,,
R3_3,21,N,N,N,,
R3_4,21,Y,Y,N,,
R3_5,21,Y,Y,N,,
R3_6,21,N,N,N,,
R3_7,21,Y,N,Y,,
R3_8,21,Y,Y,N,,
R3_9,21,Y,N,N,,
R3_10,21,Y,Y,N,,
R3_11,21,N,N,N,,
R3_12,21,Y,N,N,,
R3_13,21,N,N,N,,
R3_14,21,Y,Y,N,,
R3_15,21,Y,Y,N,,
R3_16,21,Y,Y,N,,
R3_17,21,N,Y,N,,
R3_18,21,N,Y,N,,
R3_19,21,Y,Y,N,,
R3_20,21,N,N,N,,
S1_1,21,Y,Y,N,,
S1_2,21,Y,Y,N,,
S1_3,21,N,N,N,,
S1_4,21,Y,Y,N,,
S1_5,21,N,Y,N,,
S1_6,21,N,N,N,,
S1_7,21,Y,N,N,,
S1_8,21,N,N,N,,
S1_9,21,Y,Y,N,,
S1_10,21,Y,Y,Y,,
S1_11,21,Y,Y,N,,
S1_12,21,Y,Y,N,,
S1_13,21,N,N,N,,
S1_14,21,N,N,N,,
S1_15,21,Y,Y,N,,
S1_16,21,N,Y,N,,
S1_17,21,N,N,N,,
S1_18,21,Y,Y,N,,
S1_19,21,N,N,N,,
S1_20,21,Y,Y,Y,,
S2_1,21,N,N,N,,
S2_2,21,Y,Y,N,,
S2_3,21,Y,Y,Y,,
S2_4,21,Y,Y,N,,
S3_1,21,Y,Y,N,,
S3_2,21,Y,Y,N,,
S3_3,21,Y,Y,C,,
S3_4,21,N,N,N,,
S3_5,21,N,Y,N,,
S3_6,21,N,N,N,,
S3_7,21,N,N,N,,
S3_8,21,N,Y,N,,
S3_9,21,N,N,N,,
S3_10,21,N,N,N,,
S3_11,21,Y,Y,N,,
S3_12,21,Y,Y,N,,
S3_13,21,C,N,N,,
S3_14,21,N,C,N,,
S3_15,21,Y,C,N,,
S3_16,21,Y,C,N,,
S3_17,21,N,N,N,,
S3_18,21,Y,Y,N,,
S3_19,21,Y,Y,N,,
S3_20,21,Y,Y,N,,
U1_1,21,Y,Y,N,,
U1_2,21,N,N,N,,
U1_3,21,N,N,N,,
U1_4,21,N,N,N,,
U1_5,21,N,N,N,,
U1_6,21,N,Y,N,,
U1_7,21,N,N,N,,
U1_8,21,N,N,N,,
U1_9,21,N,N,N,,
U1_10,21,N,N,N,,
U1_11,21,N,N,N,,
U1_12,21,Y,N,C,,
U1_13,21,Y,Y,N,,
U1_14,21,N,N,N,,
U1_15,21,N,N,N,,
U1_16,21,N,N,N,,
U1_17,21,N,N,N,,
U1_18,21,N,N,N,,
U1_19,21,N,C,N,,
U1_20,21,N,N,N,,
U2_1,21,C,Y,N,,
U2_2,21,C,C,N,,
U2_3,21,N,N,N,,
U2_4,21,N,N,N,,
U2_5,21,N,Y,N,,
U2_6,21,Y,N,N,,
U2_7,21,N,N,N,,
U2_8,21,N,N,N,,
U2_9,21,Y,Y,N,,
U2_10,21,N,C,N,,
U2_11,21,Y,Y,N,,
U2_12,21,Y,Y,Y,,
U2_13,21,N,N,N,,
U2_14,21,N,N,N,,
U2_15,21,Y,N,N,,
U2_16,21,Y,Y,Y,,
U2_17,21,Y,Y,N,,
U2_18,21,Y,Y,N,,
U2_19,21,N,Y,N,,
U2_20,21,N,N,N,,
U3_1,21,N,N,N,,
U3_2,21,N,Y,N,,
U3_3,21,Y,Y,Y,,
U3_4,21,N,N,N,,
U3_5,21,Y,Y,N,,
U3_6,21,N,Y,N,,
U3_7,21,N,N,N,,
U3_8,21,N,N,N,,
U3_9,21,N,Y,N,,
U3_10,21,N,N,N,,
U3_11,21,N,Y,N,,
U3_12,21,Y,Y,N,,
U3_13,21,Y,N,N,,
U3_14,21,N,N,N,,
U3_15,21,N,N,N,,
U3_16,21,Y,Y,N,,
U3_17,21,N,N,N,,
U3_18,21,Y,N,Y,,
U3_19,21,N,N,N,,
U3_20,21,Y,Y,N,,
