Block,Site,Class,Pot,Month,Day,Sex,WingSize
1,1,urban,1,6,24,M,2.44
1,1,urban,1,6,24,M,2.36
1,1,urban,1,6,24,M,2.64
1,1,urban,1,6,24,F,3.04
1,1,urban,1,6,24,M,2.44
1,1,urban,1,6,24,M,2.36
1,1,urban,1,6,24,M,2.56
1,1,urban,1,6,25,M,2.44
1,1,urban,1,6,25,M,2.36
1,1,urban,1,6,25,F,2.88
1,1,urban,1,6,25,F,2.8
1,1,urban,1,6,28,M,2.2
1,1,urban,1,6,29,F,2.76
1,1,urban,1,6,30,F,2.64
1,1,urban,1,7,5,F,2.88
1,1,urban,1,7,6,F,2.8
1,1,urban,2,6,23,M,2.68
1,1,urban,2,6,24,M,2.68
1,1,urban,2,6,24,M,2.48
1,1,urban,2,6,24,M,2.72
1,1,urban,2,6,24,M,2.6
1,1,urban,2,6,25,M,2.48
1,1,urban,2,6,26,M,2.24
1,1,urban,2,6,26,M,3
1,1,urban,2,6,28,F,2.64
1,1,urban,2,6,29,M,2.6
1,1,urban,2,7,1,F,3.2
1,1,urban,2,7,2,F,2.84
1,1,urban,3,6,23,M,2.52
1,1,urban,3,6,23,M,2.68
1,1,urban,3,6,24,M,2.68
1,1,urban,3,6,24,M,2.56
1,1,urban,3,6,24,M,2.44
1,1,urban,3,6,24,M,2.56
1,1,urban,3,6,25,M,2.48
1,1,urban,3,6,26,M,2.76
1,1,urban,3,6,26,M,2.48
1,1,urban,3,6,30,F,3.28
1,1,urban,3,7,3,M,2.04
1,1,urban,3,7,4,F,2.8
1,1,urban,3,7,4,F,2.88
1,1,urban,4,6,23,M,2.28
1,1,urban,4,6,25,F,2.84
1,1,urban,4,6,25,F,2.76
1,1,urban,4,6,25,M,2.08
1,1,urban,4,6,25,F,2.64
1,1,urban,4,7,5,F,2.2
1,1,urban,5,6,23,M,2.72
1,1,urban,5,6,24,M,2.76
1,1,urban,5,6,24,M,2.48
1,1,urban,5,6,24,M,2.6
1,1,urban,5,6,24,F,3.2
1,1,urban,5,6,24,M,2.68
1,1,urban,5,6,25,M,2.64
1,1,urban,5,6,25,F,2.8
1,1,urban,5,6,25,M,2.4
1,1,urban,5,6,26,M,2.44
1,1,urban,5,6,26,M,2.56
1,1,urban,5,6,27,F,3.2
1,1,urban,5,6,27,F,2.84
1,1,urban,5,6,27,M,2.8
1,1,urban,6,6,24,M,2.64
1,1,urban,6,6,24,M,2.68
1,1,urban,6,6,24,M,2.56
1,1,urban,6,6,25,F,2.76
1,1,urban,6,6,25,M,2.4
1,1,urban,6,6,25,M,2.52
1,1,urban,6,6,26,F,2.96
1,1,urban,6,6,26,M,2.48
1,1,urban,6,6,26,F,3
1,1,urban,6,7,6,F,3.04
1,1,urban,6,7,7,F,3.12
1,1,urban,6,7,9,F,3.08
1,2,rural,1,6,24,M,2.68
1,2,rural,1,6,24,M,2.56
1,2,rural,1,6,24,M,2.72
1,2,rural,1,6,24,M,2.6
1,2,rural,1,6,24,F,3.32
1,2,rural,1,6,25,M,2.6
1,2,rural,1,6,25,M,2.6
1,2,rural,1,6,25,M,2.56
1,2,rural,1,6,25,M,2.4
1,2,rural,1,6,25,M,2.44
1,2,rural,1,6,26,M,2.44
1,2,rural,1,6,27,F,2.88
1,2,rural,1,6,27,F,3
1,2,rural,1,7,7,F,2.92
1,2,rural,1,6,30,F,3.16
1,2,rural,2,6,24,M,2.48
1,2,rural,2,6,24,M,2.44
1,2,rural,2,6,25,M,2.56
1,2,rural,2,6,25,M,2.28
1,2,rural,2,6,29,F,2.6
1,2,rural,2,6,29,F,2.92
1,2,rural,2,7,3,F,2.72
1,2,rural,2,7,8,F,2.84
1,2,rural,3,6,23,M,2.52
1,2,rural,3,6,23,M,2.72
1,2,rural,3,6,23,M,2.52
1,2,rural,3,6,23,M,2.6
1,2,rural,3,6,23,M,2.64
1,2,rural,3,6,24,M,2.64
1,2,rural,3,6,24,M,2.72
1,2,rural,3,6,24,M,2.68
1,2,rural,3,6,24,M,2.6
1,2,rural,3,6,24,M,2.6
1,2,rural,3,6,24,M,2.64
1,2,rural,3,6,24,M,2.68
1,2,rural,3,6,24,M,2.68
1,2,rural,3,6,25,F,3.04
1,2,rural,3,6,25,M,2.44
1,2,rural,3,6,25,M,2.44
1,2,rural,3,6,25,M,2.44
1,2,rural,3,6,26,F,2.88
1,2,rural,3,6,26,F,3.04
1,2,rural,3,6,27,F,2.4
1,2,rural,3,6,28,M,2.52
1,2,rural,3,6,28,F,3.04
1,2,rural,3,6,29,F,2.68
1,2,rural,4,6,24,M,2.6
1,2,rural,4,6,24,M,2.48
1,2,rural,4,6,24,M,2.64
1,2,rural,4,6,24,M,2.56
1,2,rural,4,6,24,M,2.68
1,2,rural,4,6,25,F,3.4
1,2,rural,4,6,25,F,3
1,2,rural,4,6,25,M,2.48
1,2,rural,4,6,25,F,2.92
1,2,rural,4,6,26,M,2.48
1,2,rural,4,6,30,F,3.32
1,2,rural,5,6,23,M,2.64
1,2,rural,5,6,24,M,2.6
1,2,rural,5,6,24,M,2.56
1,2,rural,5,6,24,M,2.52
1,2,rural,5,6,24,M,2.6
1,2,rural,5,6,24,M,2.6
1,2,rural,5,6,25,F,2.88
1,2,rural,5,6,25,M,2.52
1,2,rural,5,6,25,F,2.8
1,2,rural,5,6,26,F,2.88
1,2,rural,5,6,26,F,2.68
1,2,rural,5,6,29,F,2.64
1,2,rural,5,6,29,F,2.48
1,2,rural,6,6,23,M,2.6
1,2,rural,6,6,23,M,2.8
1,2,rural,6,6,24,M,2.6
1,2,rural,6,6,24,M,2.76
1,2,rural,6,6,24,M,2.64
1,2,rural,6,6,24,M,2.52
1,2,rural,6,6,24,M,2.6
1,2,rural,6,6,24,F,2.92
1,2,rural,6,6,24,M,2.48
1,2,rural,6,6,24,M,2.44
1,2,rural,6,6,24,M,2.6
1,2,rural,6,6,25,F,2.8
1,2,rural,6,6,25,M,2.48
1,2,rural,6,6,25,M,2.48
1,2,rural,6,6,26,F,2.84
1,2,rural,6,6,30,F,3.2
1,3,suburban,1,6,23,M,2.72
1,3,suburban,1,6,24,M,2.64
1,3,suburban,1,6,24,M,2.6
1,3,suburban,1,6,24,F,2.76
1,3,suburban,1,6,24,M,2.48
1,3,suburban,1,6,24,M,2.44
1,3,suburban,1,6,24,M,2.6
1,3,suburban,1,6,24,M,2.48
1,3,suburban,1,6,24,M,2.6
1,3,suburban,1,6,24,M,2.64
1,3,suburban,1,6,25,M,2.52
1,3,suburban,1,6,25,F,2.4
1,3,suburban,1,6,26,F,2.96
1,3,suburban,1,6,26,F,3.08
1,3,suburban,1,6,26,M,2.44
1,3,suburban,1,6,27,F,2.64
1,3,suburban,1,6,27,F,2.88
1,3,suburban,1,6,27,F,2.92
1,3,suburban,1,6,27,F,3
1,3,suburban,1,7,7,F,2.68
1,3,suburban,1,6,29,F,2.84
1,3,suburban,1,7,4,F,3
1,3,suburban,1,7,4,F,3.04
1,3,suburban,1,7,9,M,2.48
1,3,suburban,2,6,23,M,2.8
1,3,suburban,2,6,24,F,3
1,3,suburban,2,6,24,M,2.6
1,3,suburban,2,6,24,M,2.6
1,3,suburban,2,6,24,M,2.44
1,3,suburban,2,6,24,M,2.6
1,3,suburban,2,6,24,F,3.04
1,3,suburban,2,6,25,F,3
1,3,suburban,2,6,25,M,2.36
1,3,suburban,2,6,26,F,2.64
1,3,suburban,2,6,26,F,2.76
1,3,suburban,2,6,26,F,2.88
1,3,suburban,2,6,27,F,2.88
1,3,suburban,2,6,27,M,2.44
1,3,suburban,2,7,7,F,3
1,3,suburban,2,6,30,F,3
1,3,suburban,2,7,4,F,3.08
1,3,suburban,2,7,5,F,2.6
1,3,suburban,3,6,24,M,2.48
1,3,suburban,3,6,24,M,2.6
1,3,suburban,3,6,24,M,2.6
1,3,suburban,3,6,24,M,2.64
1,3,suburban,3,6,24,F,3.16
1,3,suburban,3,6,24,M,2.6
1,3,suburban,3,6,25,F,3
1,3,suburban,3,6,25,M,2.44
1,3,suburban,3,6,25,M,2.48
1,3,suburban,3,6,26,F,2.92
1,3,suburban,3,6,26,F,2.64
1,3,suburban,3,6,26,F,3.04
1,3,suburban,3,6,26,F,2.88
1,3,suburban,3,6,28,F,2.8
1,3,suburban,3,6,30,F,2.8
1,3,suburban,3,7,3,F,2.6
1,3,suburban,3,7,5,F,3.24
1,3,suburban,3,7,5,F,3
1,3,suburban,4,6,23,M,2.6
1,3,suburban,4,6,24,M,2.68
1,3,suburban,4,6,24,M,2.6
1,3,suburban,4,6,24,M,2.6
1,3,suburban,4,6,24,M,2.48
1,3,suburban,4,6,24,M,2.64
1,3,suburban,4,6,24,M,2.6
1,3,suburban,4,6,25,F,2.88
1,3,suburban,4,6,25,M,2.32
1,3,suburban,4,6,27,F,2.48
1,3,suburban,4,6,27,F,2.72
1,3,suburban,4,7,7,F,2.92
1,3,suburban,5,6,24,M,2.76
1,3,suburban,5,6,24,M,2.64
1,3,suburban,5,6,24,M,2.6
1,3,suburban,5,6,24,M,2.68
1,3,suburban,5,6,24,M,2.68
1,3,suburban,5,6,24,M,2.68
1,3,suburban,5,6,24,M,2.72
1,3,suburban,5,6,24,M,2.6
1,3,suburban,5,6,25,F,3.04
1,3,suburban,5,6,25,M,2.6
1,3,suburban,5,6,26,F,2.92
1,3,suburban,5,6,27,F,3
1,3,suburban,5,6,28,F,3
1,3,suburban,5,6,29,F,3
1,3,suburban,5,6,29,F,3.12
1,3,suburban,5,6,30,F,3
1,3,suburban,5,7,2,F,3.28
1,3,suburban,5,7,5,F,3.2
1,3,suburban,6,6,24,M,2.64
1,3,suburban,6,6,24,M,2.6
1,3,suburban,6,6,25,F,3.2
1,3,suburban,6,6,25,M,2.64
1,3,suburban,6,6,25,M,2.6
1,3,suburban,6,6,26,F,3
1,3,suburban,6,6,26,F,3
1,3,suburban,6,6,27,F,2.84
1,3,suburban,6,6,28,F,2.84
1,3,suburban,6,6,29,F,2.72
1,3,suburban,6,7,2,F,3.04
1,3,suburban,6,7,6,F,3.28
1,4,urban,1,6,24,F,3.28
1,4,urban,1,6,24,M,3
1,4,urban,1,6,24,F,2.6
1,4,urban,1,6,24,F,3.28
1,4,urban,2,6,23,F,3.4
1,4,urban,2,6,23,M,2.6
1,4,urban,2,6,23,M,2.76
1,4,urban,2,6,23,M,2.64
1,4,urban,2,6,23,M,2.76
1,4,urban,2,6,23,M,2.44
1,4,urban,2,6,23,M,2.64
1,4,urban,2,6,23,M,2.72
1,4,urban,2,6,23,M,2.76
1,4,urban,2,6,25,M,2.4
1,4,urban,2,6,25,M,2.4
1,4,urban,2,6,25,F,2.96
1,4,urban,2,6,25,M,2.52
1,4,urban,2,6,26,F,3
1,4,urban,2,7,9,F,2.28
1,4,urban,3,6,23,M,2.6
1,4,urban,3,6,23,M,2.68
1,4,urban,3,6,23,M,2.72
1,4,urban,3,6,23,M,2.64
1,4,urban,3,6,23,M,2.56
1,4,urban,3,6,23,M,2.6
1,4,urban,3,6,23,M,2.56
