,Class,,,Season,,,Class*Season,,
,df,Chisq,p-value,df,Chisq,p-value,df,Chisq,p-value
survival,2,0.0361,0.982,1,61.129,<0.001,2,5.891,0.0526
MDR,2,3.847,0.1461,1,597.51,<0.001,2,3.108,0.2114
body size,2,0.8348,0.6587,1,2.7937,0.0946,2,14.748,<0.001
growth,2,0.667,0.717,1,219.84,<0.001,2,2.622,0.23
,,,,,,,,,
Body,2,18.168,<0.001,1,12.271,<0.001,2,1.985,0.371
Head,2,14.253,<0.001,1,14.909,<0.001,2,0.941,0.625
Saliva,2,1.105,0.575,1,3.63,0.057,2,0.302,0.86
VC,2,0.161,0.922,1,5.721,0.017,2,0.905,0.636
