,Summer,,,Fall,,
,Rural,Suburban,Urban,Rural,Suburban,Urban
Min. Temperature,21.69 \pm 0.23a,21.99 \pm 0.32a,22.69 \pm 0.33a,11.07 \pm 0.33a,12.23 \pm 0.47ab,13.32 \pm 0.47b
Mean Temperature,25.41 \pm 0.16a,25.36 \pm 0.22a,26.30 \pm 0.23b,17.87 \pm 0.23a,18.11 \pm 0.33a,19.28 \pm 0.33b
Max. Temperature,31.39 \pm 0.49a,30.86 \pm 0.68a,31.41 \pm 0.71a,27.52 \pm 0.37a,26.58 \pm 0.53a,26.87 \pm 0.55a
DTR,9.82 \pm 0.55a,8.86 \pm 0.76a,8.75 \pm 0.79a,16.46 \pm 0.57a,14.35 \pm 0.80a,13.58 \pm 0.82b
Min. Relative Humidity,73.59 \pm 1.84ab,76.29 \pm 2.55b,66.48 \pm 2.67a,47.81 \pm 1.75a,48.84 \pm 2.45a,44.28 \pm 2.52a
Mean Relative Humidity,93.80 \pm 1.04 a,94.77 \pm 1.45a,87.52 \pm 1.51 b,80.84  \pm 1.52a,80.41 \pm 2.14a,71.58 \pm 2.17b
Max. Relative Humidity,99.97 \pm 0.84a,99.97 \pm 1.31a,98.09 \pm 1.37a,99.33 \pm 1.25a,98.92 \pm 1.75a,92.07 \pm 1.78b
DHR,26.37 \pm 2.00ab,23.69 \pm 2.77b,31.62 \pm 2.90a,51.51 \pm 1.89a,50.09 \pm 2.65a,47.79 \pm 2.73a
