	Summer			Fall		
	Rural	Suburban	Urban	Rural	Suburban	Urban
Min. Temperature	21.726 (20.926,22.525)	21.997 (21.198,22.797)	22.667 (21.867,23.466)	11.031 (10.231,11.83)	12.231 (11.432,13.031)	13.411 (12.611,14.211)
Mean Temperature	27.577 (27.132,28.021)	27.381 (26.937,27.826)	27.451 (27.007,27.896)	19.45 (19.005,19.894)	19.547 (19.103,19.991)	19.951 (19.507,20.396)
Max. Temperature	31.533 (30.763,32.302)	30.86 (30.091,31.629)	31.399 (30.63,32.168)	27.567 (26.798,28.336)	26.58 (25.811,27.35)	26.846 (26.077,27.615)
Daily Temperature Range	9.807 (8.507,11.107)	8.863 (7.563,10.163)	8.732 (7.432,10.032)	16.536 (15.236,17.836)	14.349 (13.049,15.649)	13.435 (12.135,14.735)
Min. Relative Humidity	73.49 (69.39,77.59)	76.29 (72.19,80.39)	67.403 (63.303,71.503)	47.676 (43.576,51.776)	48.835 (44.735,52.935)	44.143 (40.043,48.243)
Mean Relative Humidity	89.006 (86.232,91.779)	90.382 (87.609,93.155)	84.428 (81.655,87.201)	75.388 (72.614,78.161)	75.567 (72.794,78.34)	69.005 (66.232,71.778)
Max. Relative Humidity	31.533 (30.763,32.302)	30.86 (30.091,31.629)	31.399 (30.63,32.168)	27.567 (26.798,28.336)	26.58 (25.811,27.35)	26.846 (26.077,27.615)
Daily Humidity Range	26.458 (22.065,30.851)	23.69 (19.296,28.083)	30.978 (26.585,35.371)	51.686 (47.292,56.079)	50.094 (45.701,54.487)	47.628 (43.235,52.021)
